标准指标名,中文名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
content_budget_lost_impression_share,展示网络预算丢失展示份额,Impression Share,-,content_budget_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_impression_share,竞价洞察搜索展示份额,Impression Share,-,auction_insight_search_impression_share,auction_insight_search_impression_share,-,auction_insight_search_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_absolute_top_impression_percentage,竞价洞察搜索最顶部展示率,Impression Share,-,auction_insight_search_absolute_top_impression_percentage,auction_insight_search_absolute_top_impression_percentage,-,auction_insight_search_absolute_top_impression_percentage,-,-,-,-,-,-,-,-,-,-,-,-
auction_insight_search_top_impression_percentage,竞价洞察搜索顶部展示率,Impression Share,-,auction_insight_search_top_impression_percentage,auction_insight_search_top_impression_percentage,-,auction_insight_search_top_impression_percentage,-,-,-,-,-,-,-,-,-,-,-,-
active_view_impressions,可见性展示量,Active View,-,active_view_impressions,active_view_impressions,active_view_impressions,active_view_impressions,-,-,-,-,-,-,-,-,-,-,-,-
active_view_cpm,可见性千次展示成本,Active View,-,active_view_cpm,active_view_cpm,active_view_cpm,active_view_cpm,-,-,-,-,-,-,-,-,-,-,-,-
active_view_ctr,可见性点击率,Active View,-,active_view_ctr,active_view_ctr,active_view_ctr,active_view_ctr,-,-,-,-,-,-,-,-,-,-,-,-
active_view_viewability,可见性可见率,Active View,-,active_view_viewability,active_view_viewability,active_view_viewability,active_view_viewability,-,-,-,-,-,-,-,-,-,-,-,-
active_view_measurability,可见性可衡量率,Active View,-,active_view_measurability,active_view_measurability,active_view_measurability,active_view_measurability,-,-,-,-,-,-,-,-,-,-,-,-
active_view_measurable_impressions,可见性可衡量展示量,Active View,-,active_view_measurable_impressions,active_view_measurable_impressions,active_view_measurable_impressions,active_view_measurable_impressions,-,-,-,-,-,-,-,-,-,-,-,-
